# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle;Real Position
[  27.13346806 -106.42597822   -4.78725936];[0.739753344488447, -1.6570110107004954, 1.0334943811654074, -0.034429906933692134];[28.67, -111.6, -7.18]
[  27.13280488 -106.42891636    1.59569469];[0.9372029855694785, -1.6571723416155424, 0.8391568285846553, -0.034187380636022224];[28.71, -111.62, -0.01]
[  27.13430939 -106.4230808     7.97918688];[1.1275469689656823, -1.656469748287622, 0.639304711174558, -0.034811614877656744];[28.46, -111.49, 7.17]
[  27.13647436 -106.41719885   14.36459954];[1.3075352722943323, -1.653330824299773, 0.436646745991628, -0.035411495833576445];[28.37, -111.19, 13.77]
[  30.32388774 -112.76967083  -17.55731248];[0.1986936190062659, -1.5160565976411777, 1.1766881238625326, 0.17006246450610552];[30.9, -116.83, -20.56]
[  30.32113874 -112.77497985  -11.17187384];[0.3867403581868242, -1.5258892918728344, 1.0133997411790796, 0.16780822660729344];[30.73, -117.01, -14.23]
[  30.31904545 -112.78009016   -4.78760971];[0.5719736575308765, -1.5306514346363176, 0.8416407144518434, 0.16702497016497397];[30.35, -117.19, -7.22]
[  30.31827878 -112.78267127    1.59582916];[0.7530878275360153, -1.5314914806513777, 0.6631255431527858, 0.16692336564139199];[30.22, -117.2, 0.25]
[  30.32000271 -112.7775376     7.97960727];[0.9284854690074087, -1.5288210158108622, 0.4797812774078154, 0.16729306722900067];[30.43, -117.06, 7.32]
[  30.32243902 -112.7723736    14.36444055];[1.0961869783025708, -1.521699082466727, 0.29300688068370423, 0.16868454904757368];[30.78, -116.7, 13.94]
[  23.93986922 -112.77546533   23.93986926];[1.3533953298617485, -1.3533953525782545, 0.018701936964246504, -0.01870196627887194];[24.76, -116.39, 23.5]
[  23.93709115 -112.78134064   17.5542135 ];[1.197901525125199, -1.3683441812828048, 0.21039403975041068, -0.024544648302450067];[24.74, -116.69, 17.71]
[  23.93477378 -112.78679751   11.16978556];[1.0329332900011394, -1.3770138396725602, 0.40012704129081483, -0.02738606075845501];[25.03, -117.25, 10.71]
[  23.93301982 -112.79209028    4.78667674];[0.8594619001952919, -1.3810982829323293, 0.587132439618159, -0.028461890894105973];[25.3, -117.58, 4.1]
[  23.93237761 -112.79478263   -1.59551392];[0.6791776737464609, -1.3817990354754437, 0.7700292721930251, -0.028614094280115743];[25.6, -117.74, -3.13]
[  23.93382132 -112.78944073   -7.97808085];[0.4940482796129116, -1.3795421255963416, 0.9471703606612901, -0.028081047028822775];[25.48, -117.63, -10.17]
[  23.93586725 -112.78411436  -14.36182714];[0.3055348651684407, -1.3733484609553346, 1.116559823639639, -0.026256430177364343];[25.36, -117.42, -16.64]
[  23.93843538 -112.77842683  -20.74692067];[0.1147772148693616, -1.3617744319932996, 1.2768614610893199, -0.022085342024593335];[25.28, -117.06, -23.21]
[  17.55795067 -112.76419351  -30.32502869];[-0.17000888075227671, -1.1768684815194386, 1.5162529014297772, -0.19878317137161058];[19.2, -116.9, -32.1]
[  17.55488514 -112.77579539  -23.93801533];[0.024614286019595227, -1.1980848917128781, 1.3685363272310924, -0.21048284926556715];[18.9, -117.21, -26.5]
[  17.55137171 -112.79271392  -17.55137175];[0.21723925031458768, -1.2113437401653686, 1.2113436874234775, -0.21723923991999505];[18.84, -117.56, -20.12]
[  17.5495595  -112.7983454   -11.16788682];[0.4081445211774922, -1.219087122477474, 1.045175522371319, -0.22076478535384308];[18.98, -117.86, -13.77]
[  17.54819496 -112.80382779   -4.78583266];[0.5963712618158137, -1.2226511410051715, 0.8705219063364089, -0.22218353562997342];[19.03, -118.12, -7.13]
[  17.54769487 -112.80662734    1.5952287 ];[0.7804875728545163, -1.2232476528863425, 0.6890284993542631, -0.22239541075332592];[19.1, -118.15, -0.04]
