# extended ;1
# legs ;['blueleg']
# legs model ;['tetra']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[   7.97995717 -122.23189996  -31.92093696];[-0.4005052927580917, -0.3735486922995227, 0.8743166872924084, -0.05236905923968807]
[   7.98016208 -122.24380739  -23.94556162];[-0.21385020863672094, -0.41393319305921966, 0.7454574546428927, -0.09037930837529934]
[   7.98057989 -122.25147458  -15.96608035];[-0.03514979334600605, -0.44202423723771295, 0.6059712838367614, -0.11733982502110037]
[   7.98130269 -122.25640841   -7.98426656];[0.13641706884248717, -0.458368604362727, 0.45697363682770686, -0.133782934822008]
[ 7.98246189e+00 -1.22258130e+02 -1.48597201e-03];[0.30087803089864856, -0.46328936784148617, 0.2995460104156181, -0.14003122078592128]
[   7.98407254 -122.2562255     7.98134246];[0.4577312600030511, -0.45690139633111837, 0.13458040580845443, -0.13616104688645708]
[   7.98648762 -122.2424977    15.96456265];[0.606356083715335, -0.43929656689204355, -0.03726467970837941, -0.12214383878947824]
[   7.98835628 -122.23686583   23.94449337];[0.745253905976638, -0.4097399368895989, -0.2163079723927985, -0.09720515653518108]
[   7.99012021 -122.22835563   31.9196561 ];[0.8735714164336491, -0.3679849856187023, -0.4031908446100381, -0.06086074782200729]
[  15.97476596 -122.21213428   31.9228005 ];[0.8533784195152504, -0.5126824333376351, -0.4184850280974414, 0.10719077813297638]
[  15.97264738 -122.22273445   23.94648959];[0.7264906247488832, -0.556598213280412, -0.231802026821535, 0.07232916786267775]
[  15.96920136 -122.23855963   15.96415801];[0.5887128782399049, -0.5874489277139137, -0.05325541764474237, 0.04869807779905187]
[  15.96549082 -122.25427309    7.98038603];[0.44135581517820005, -0.6058030077967816, 0.11803637979064024, 0.035470606007565686]
[ 1.59635998e+01 -1.22257141e+02 -2.86712798e-03];[0.28566543842367725, -0.6122557828019286, 0.28234686780206836, 0.03198703164852937]
[  15.96410254 -122.24536256   -7.98653134];[0.1223927250475952, -0.6069626792728257, 0.43926486783526686, 0.03802032415585496]
