# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[ 9.88094609e-12 -9.85110649e+01  1.19629826e+01];[1.5178301569114365, -1.1303510496612819, 0.7003105670577384, -1.130351048468627]
[ 1.10899758e-11 -9.84905771e+01  1.59553309e+01];[1.6360546024222518, -1.1323491709228224, 0.5578968975311837, -1.1323491697141408]
[-1.83855759e-09 -9.84717839e+01  1.99498452e+01];[1.7470069125303211, -1.132648439184766, 0.41655377389982057, -1.1326483906494982]
[ 3.90872884e-10 -9.84542345e+01  2.39461498e+01];[1.8509053293706406, -1.1303025270883196, 0.2767105980495753, -1.1303025362233137]
[  3.98798511 -98.47178282  19.94991424];[1.747778091787925, -1.2691167931844, 0.41716112293942287, -0.9925059386734153]
[  3.98739986 -98.49057812  15.95538084];[1.636816034428609, -1.2688762310447756, 0.5584988146187072, -0.9920827270043657]
[  3.98679677 -98.51107627  11.9630161 ];[1.518564809817887, -1.266808959156939, 0.7009103051717245, -0.9901026688934482]
[  3.9861608  -98.53370451   7.97305133];[1.3932194084183664, -1.2640022670630982, 0.8435683364907663, -0.9875299770164498]
[  3.98548217 -98.55874721   3.98548209];[1.2614648191450792, -1.2614643403956582, 0.9852550202400457, -0.9852547095899711]
[ 3.98533963e+00 -9.85638464e+01 -5.81429522e-08];[1.1251288833462967, -1.2606377217177136, 1.1251288893768683, -0.9845067552629478]
[  3.98548214 -98.55874693  -3.98548222];[0.9852546961366921, -1.261464618909626, 1.2614642007121482, -0.985254884150403]
[  3.98616072 -98.53370429  -7.97305154];[0.8435680888838338, -1.2640027750504383, 1.393218219044391, -0.9875302757039588]
[  3.98679664 -98.51107645 -11.96301639];[0.7009103889542689, -1.266809405145828, 1.5185631952924035, -0.9901029176562657]
[  3.98739972 -98.49057867 -15.95538119];[0.5584994167285925, -1.2688762592828935, 1.6368144080163203, -0.9920827347292178]
[  3.98798565 -98.4717829  -19.94991471];[0.4171625280268967, -1.2691135764458141, 1.747776801153169, -0.9925086558261276]
[  7.97669044 -98.47173221 -19.95012351];[0.4188036566399432, -1.4003945018108195, 1.7497780217271035, -0.8502889868380138]
[  7.97554538 -98.49053224 -15.95553478];[0.5601110100690123, -1.4001629829234445, 1.6387921852473943, -0.8496796013755288]
[  7.97436347 -98.51105577 -11.96312177];[0.70250237519609, -1.3979908395586773, 1.5204703145046088, -0.8476670334800696]
[  7.97311589 -98.53373573  -7.97311573];[0.8451546481729719, -1.3950303553134662, 1.3950310977096314, -0.8451541957450225]
[  7.97279972 -98.53870618  -3.98603166];[0.987396104648105, -1.3930450078036354, 1.2638392846385114, -0.8434501968113827]
[ 7.97252874e+00 -9.85436504e+01  2.13660014e-08];[1.1273806100587027, -1.3921762906422157, 1.1273803779316887, -0.8427317030278502]
[  7.97279961 -98.53870649   3.98603171];[1.2638388860207024, -1.3930452151974761, 0.9873955285946373, -0.8434502921150505]
[  7.97311575 -98.53373513   7.9731159 ];[1.39503010731001, -1.3950307613197386, 0.8451541623335214, -0.8451544124388232]
[  7.97436326 -98.51105548  11.96312204];[1.5204689690547182, -1.3979911781451666, 0.702502261508674, -0.8476672155188938]
[  7.97554515 -98.49053229  15.95553512];[1.6387907999334594, -1.400162732575206, 0.5601114488522323, -0.8496795667395924]
[  7.97669055 -98.47173171  19.95012387];[1.7497781133724108, -1.4003934993612275, 0.4188041086265966, -0.8502902528049228]
[ 11.96668839 -98.47150683  19.9504756 ];[1.7521635790290468, -1.5252809830682628, 0.4209731379408964, -0.7074427450481304]
[ 11.96503009 -98.49030608  15.95580195];[1.641154318754358, -1.5250286953608365, 0.562198349161561, -0.7066064798160552]
[ 11.96331229 -98.51085852  11.96331202];[1.5227454151219082, -1.5227448437738609, 0.7045197775849257, -0.704519303308872]
[ 11.96277079 -98.51592928   7.97411979];[1.397818267053731, -1.5202896354453184, 0.847549843780038, -0.7024001156584243]
[ 11.96231453 -98.5207837    3.98654726];[1.2664876806742364, -1.5182090275857554, 0.9898388392367722, -0.7007093292454235]
