# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[ 9.72653156e-10 -1.22306793e+02 -2.39257064e+01];[-0.13391323033267502, -0.4922508780282172, 1.1094594940639977, -0.49225091474534166]
[-9.09240939e-10 -1.22296150e+02 -3.19014970e+01];[-0.36420242814286896, -0.4664253159633474, 1.2881515058326776, -0.46642529950162304]
[   7.97836656 -122.2959219   -31.90197999];[-0.36591899047256554, -0.665329742426986, 1.2835406897193016, -0.26001373345208667]
[   7.97675576 -122.3066631   -23.92612205];[-0.13582830994959572, -0.6939428723891045, 1.1054031646877682, -0.2832342240109905]
[   7.97502342 -122.32039012  -15.94907228];[0.08759207418059409, -0.7119819599755074, 0.9181599702741845, -0.29763516227699416]
[   7.97350624 -122.33376557   -7.97350625];[0.30524450637163364, -0.7216749146833059, 0.72166444233986, -0.3052570940647687]
[ 7.97285774e+00 -1.22339797e+02  8.92505904e-07];[0.5169162095982451, -0.7246811779920361, 0.5169190449006741, -0.3075991066842563]
[   7.97350672 -122.33376725    7.97350679];[0.7216720532736399, -0.7216611494294557, 0.3052581139969878, -0.30524487449884147]
[   7.9750249  -122.32038574   15.9490717 ];[0.9181753270550361, -0.71195733197641, 0.08761585471456701, -0.29761312320331185]
[   7.97675793 -122.30665416   23.9261215 ];[1.1054213584117154, -0.6939105076158935, -0.13579516434106242, -0.2832052044327437]
[   7.97837091 -122.29591625   31.90198077];[1.283555139863293, -0.6653100751495957, -0.36589077965490385, -0.2599887367378754]
[  15.95648881 -122.29504604   31.90337885];[1.2692571885158739, -0.8553334470228855, -0.3714364718429415, -0.04702932363629425]
[  15.95337291 -122.30606917   23.92733444];[1.0927683268032173, -0.8868695472174204, -0.14193466015360579, -0.06788834664456486]
[  15.94996141 -122.32005479   15.94996363];[0.9068972119472343, -0.9069156345428947, 0.08067355628928252, -0.08069518623756039]
[  15.94812117 -122.32631275    7.97455852];[0.7118097646485518, -0.9179963566013137, 0.29750647136740954, -0.08752304082580789]
[ 1.59468762e+01 -1.22332168e+02 -1.76446845e-07];[0.5081653678869579, -0.9213916107501601, 0.5081615362088981, -0.08958162307763984]
[  15.94812117 -122.32631797   -7.97455737];[0.2975202592381694, -0.9179820419651699, 0.7118152901729793, -0.0875113263159939]
