# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle;Real Position
[ 27.15783506 -93.61397734  39.95365056];[2.3769624423486175, -2.056309983036699, -0.18474405202459657, -0.2432696484184057];[28.6, -97.13, 40.09]
[ 33.55600517 -93.61491299  36.75519374];[2.2940539348238054, -2.2143455188637757, -0.07759630948049254, -0.028122155418584927];[34.82, -97.01, 37.07]
[ 33.55252002 -93.63032355  30.35350912];[2.1658398830456163, -2.2456327680551054, 0.14433196348359184, -0.035862630983912513];[35.22, -97.28, 30.48]
[ 33.54969006 -93.64243088  23.95421132];[2.0183998350126826, -2.2606372392077723, 0.37135218880803195, -0.037037517407636056];[35.38, -97.59, 24.03]
[ 33.54709178 -93.65412973  17.55892438];[1.8486617495513205, -2.2623473845384936, 0.60492587700443, -0.03322297783491393];[35.42, -97.83, 17.58]
[ 33.54531653 -93.66044717  11.16954268];[1.6553220394941677, -2.256364684901862, 0.8446589246677677, -0.027108327776460273];[35.78, -98.07, 10.68]
[ 33.54432724 -93.66301874   4.78570825];[1.4397006864194046, -2.2495926133490354, 1.0870167697054385, -0.022033226631231972];[36.17, -98.25, 3.78]
[ 33.54410675 -93.66360494  -1.59514442];[1.2071057055402923, -2.247874168392354, 1.3250405121389368, -0.020841589138934496];[36.27, -98.23, -3.71]
[ 33.54472654 -93.66206622  -7.97704212];[0.9658721982745964, -2.2526450169730285, 1.5500611039011714, -0.024230850557852984];[35.87, -97.98, -11.15]
[ 33.54610353 -93.65788041 -14.36346785];[0.724160244366017, -2.2599014108348454, 1.7549458044914337, -0.03025212706631647];[34.7, -98.58, -17.36]
[ 33.54828556 -93.64901835 -20.75588332];[0.48728029036809517, -2.26284163905927, 1.9364320369619836, -0.03560533817231104];[33.87, -99.15, -23.39]
[ 33.55105519 -93.63656628 -27.15346451];[0.2570786978734733, -2.255036138956884, 2.094735958382014, -0.037194820037344034];[33.19, -99.7, -28.9]
[ 33.5540088  -93.62453575 -33.55400887];[0.03286000664875885, -2.2320760136364837, 2.2320760012430396, -0.03286002549049194];[32.81, -100.18, -33.57]
[ 33.55809378 -93.60538607 -39.95640381];[-0.18746751533122102, -2.1921536846685643, 2.3520472949318854, -0.021509928443982362];[32.43, -100.59, -38.22]
[ 39.957691   -93.60252234 -36.75855996];[-0.08791023355731592, -2.333175613394249, 2.253057707003229, 0.19126405236065303];[36.05, -101.44, -36.97]
[ 39.9551642  -93.60832336 -30.35787042];[0.13181586203429918, -2.3666099100772935, 2.1267410450236395, 0.18532655968381387];[36.9, -100.36, -31.63]
[ 39.95218736 -93.61927752 -23.95853171];[0.3561391014966638, -2.383548172369152, 1.980627167770423, 0.18550988428500748];[37.99, -99.18, -26.48]
[ 39.94930248 -93.62972969 -17.5628853 ];[0.5865308396520313, -2.38730478102025, 1.8123242841186131, 0.1901223846085561];[38.83, -98.73, -20.4]
[ 39.94715595 -93.63527474 -11.17255577];[0.8225664406553906, -2.383238491523097, 1.6208985456588232, 0.19656964870080434];[39.68, -98.35, -13.53]
[ 39.94585952 -93.63761151  -4.7871462 ];[1.060900100136482, -2.3778105532399363, 1.4080100186529896, 0.20170269653387526];[39.75, -98.27, -6.42]
[ 39.94523806 -93.64076624   1.59560923];[1.294961844276994, -2.3762932153371183, 1.1789142995126198, 0.20291676169887643];[39.76, -98.2, 0.75]
[ 39.94639865 -93.63667839   7.97933845];[1.5168906086743263, -2.380297107698009, 0.9417861351452584, 0.19949516501993397];[40.13, -98.08, 7.73]
[ 39.94812983 -93.63303334  14.36703661];[1.71947967784178, -2.3858559805382575, 0.7039759415161151, 0.19330826717846447];[40.33, -97.94, 14.52]
[ 39.95065848 -93.62518614  20.76008703];[1.8993428078328198, -2.386773274628371, 0.4705426524205315, 0.18740695894449738];[40.54, -97.62, 21.03]
[ 39.95365036 -93.61397828  27.15783502];[2.0563098907262667, -2.3769623220311993, 0.24326964662101447, 0.18474402687059216];[40.76, -97.21, 27.48]
[ 39.95640377 -93.60538551  33.55809391];[2.1921537030033416, -2.3520472638309187, 0.021509912375353345, 0.18746749134754437];[40.95, -96.68, 33.77]
[ 39.9590734  -93.59954256  39.95907349];[2.3098754603452507, -2.309875384410046, -0.19680892048498644, 0.196808875021456];[40.84, -96.37, 40.05]
[  36.74705322 -100.00284307   36.74705328];[2.0238976221415936, -2.0238975152381844, -0.1855877884467088, 0.1855876915436718];[37.92, -102.14, 37.17]
