# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[  -0.28101443 -123.71989646   14.67205706];[1.570796326794898, 0.5235987755982983, 0.5235943250821373, 0.5131579536994453]
[ -11.20118879 -120.84848754   14.82082155];[1.570796326794898, 0.5235987755982983, 0.5235988664251612, -0.01047261129998818]
[ -22.18906964 -116.6764888    14.98379355];[1.570796326794898, 0.5235987755982983, 0.5235987737446868, -0.5340707381349996]
[ -31.85584887 -111.43328903   15.20018678];[1.570796326794898, 0.5235987755982983, 0.5235987756361293, -1.0576695269733638]
[ -39.54429203 -105.73713558   15.48333244];[1.570796326794898, 0.5235987755982983, 0.5235987755975269, -1.5812683023014573]
[  15.8235978  -133.64206485   25.54329543];[1.570796326794898, 0.5235987755982983, -0.010685689297908437, 1.635124176368292]
[   9.07852038 -132.34598072   25.44692407];[1.570796326794898, 0.5235987755982983, 0.00021807529179406022, 1.0351990486420724]
[  -0.27617812 -130.41850183   25.71957673];[1.570796326794898, 0.5235987755982983, -4.450516159062609e-06, 0.5131579536994455]
[ -11.51740406 -127.33798331   25.94570214];[1.570796326794898, 0.5235987755982983, 9.08268603890335e-08, -0.010472611299988305]
[ -22.75178845 -122.69568339   26.20209515];[1.570796326794898, 0.5235987755982983, -1.8536093956945257e-09, -0.5340707381349997]
[ -32.42504449 -116.84253107   26.53115877];[1.570796326794898, 0.5235987755982983, 3.78287631774389e-11, -1.057669526973364]
[ -39.92135773 -110.56612379   26.95031973];[1.570796326794898, 0.5235987755982983, -7.720155750497266e-13, -1.5812683023014575]
[  15.89885868 -139.06844703   38.48598139];[1.570796326794898, 0.5235987755982983, -0.5342844648962073, 1.6351241763682918]
[   9.43254326 -138.14544821   38.20626893];[1.570796326794898, 0.5235987755982983, -0.5233807003065036, 1.0351990486420721]
[  -0.26884689 -136.23746668   38.47960838];[1.570796326794898, 0.5235987755982983, -0.5236032261144561, 0.5131579536994453]
